Trial-ID,Status,Iteration,dropout,lr,num_hidden_units,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
1,INTERMEDIATE,1,0.19419117036079406,0.03795865056159224,36.0,0.7867156585641606,246.3,0.8455172413793104,0.5055147409439087,0.006728377614471426,0.7794984579086304,0.02372791320085521
1,COMPLETED,1,0.19419117036079406,0.03795865056159224,36.0,0.7867156585641606,246.3,0.8455172413793104,0.5055147409439087,0.006728377614471426,0.7794984579086304,0.02372791320085521
2,INTERMEDIATE,1,0.055726055287447146,0.0007466828697927678,39.0,0.7805539853024307,940.9,0.8186206896551725,0.6240744590759277,0.006558790276992688,0.7950866222381592,0.02873083800077436
2,COMPLETED,1,0.055726055287447146,0.0007466828697927678,39.0,0.7805539853024307,940.9,0.8186206896551725,0.6240744590759277,0.006558790276992688,0.7950866222381592,0.02873083800077436
3,INTERMEDIATE,1,0.34557354427943227,0.005629381499437348,42.0,0.7863764838892029,331.6,0.8287931034482758,0.5768858194351196,0.0067849067269644125,0.7847052216529846,0.021100616455078103
3,COMPLETED,1,0.34557354427943227,0.005629381499437348,42.0,0.7863764838892029,331.6,0.8287931034482758,0.5768858194351196,0.0067849067269644125,0.7847052216529846,0.021100616455078103
4,INTERMEDIATE,1,0.04898125400684936,0.013783225157396864,26.0,0.7849067269643866,361.8,0.8486206896551725,0.49591946601867676,0.007239966082532412,0.787792980670929,0.02607601135969162
4,COMPLETED,1,0.04898125400684936,0.013783225157396864,26.0,0.7849067269643866,361.8,0.8486206896551725,0.49591946601867676,0.007239966082532412,0.787792980670929,0.02607601135969162
5,INTERMEDIATE,1,0.3607177889808387,0.024212898633033553,36.0,0.7868287167891463,317.5,0.844655172413793,0.5089167356491089,0.007180610514414765,0.7772987484931946,0.024242533743381478
5,COMPLETED,1,0.3607177889808387,0.024212898633033553,36.0,0.7868287167891463,317.5,0.844655172413793,0.5089167356491089,0.007180610514414765,0.7772987484931946,0.024242533743381478
6,INTERMEDIATE,1,0.4,0.014888776636503884,35.0,0.7875635952515545,326.7,0.8415517241379311,0.5157702565193176,0.006784906726964524,0.7739803194999695,0.02614286839961999
