Trial-ID,Status,Iteration,dropout,lr,num_hidden_units,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
31,COMPLETED,1,0.43041439473539844,0.0096636551401648,33.0,0.789287733182589,371.1,0.8432758620689654,0.5247504115104675,0.004862210288298474,0.7580147981643677,0.01501533687114709
32,INTERMEDIATE,1,0.4363312812949383,0.00961765710610374,33.0,0.7898247597512719,340.55,0.8398275862068966,0.5453122854232788,0.004409977388355024,0.7642913460731506,0.014149391651153587
32,COMPLETED,1,0.4363312812949383,0.00961765710610374,33.0,0.7898247597512719,340.55,0.8398275862068966,0.5453122854232788,0.004409977388355024,0.7642913460731506,0.014149391651153587
33,INTERMEDIATE,1,0.448229916430597,0.009506246236626865,33.0,0.7884397964951951,346.15,0.8392241379310346,0.5420084595680237,0.003929479932165192,0.7600675821304321,0.013156716525554724
33,COMPLETED,1,0.448229916430597,0.009506246236626865,33.0,0.7884397964951951,346.15,0.8392241379310346,0.5420084595680237,0.003929479932165192,0.7600675821304321,0.013156716525554724
34,INTERMEDIATE,1,0.30525466276524454,0.012134028945236953,33.0,0.7894855850763143,359.35,0.8460344827586207,0.5150812864303589,0.004155596382136695,0.76157146692276,0.01434017270803456
34,COMPLETED,1,0.30525466276524454,0.012134028945236953,33.0,0.7894855850763143,359.35,0.8460344827586207,0.5150812864303589,0.004155596382136695,0.76157146692276,0.01434017270803456
35,INTERMEDIATE,1,0.2572352624007539,0.015219667592368393,33.0,0.7909270774448841,301.65,0.8450862068965519,0.524665892124176,0.004694036178632066,0.7655271291732788,0.016768757998943395
35,COMPLETED,1,0.2572352624007539,0.015219667592368393,33.0,0.7909270774448841,301.65,0.8450862068965519,0.524665892124176,0.004694036178632066,0.7655271291732788,0.016768757998943395
36,INTERMEDIATE,1,0.20180825805238645,0.020543179025092916,33.0,0.7894855850763144,313.65,0.8551724137931034,0.48631468415260315,0.004523035613341109,0.763437032699585,0.017176872491836526
36,COMPLETED,1,0.20180825805238645,0.020543179025092916,33.0,0.7894855850763144,313.65,0.8551724137931034,0.48631468415260315,0.004523035613341109,0.763437032699585,0.017176872491836526
37,INTERMEDIATE,1,0.23029448282826723,0.01742874115205616,33.0,0.7883550028264555,314.15,0.8478448275862069,0.5067691802978516,0.004607122668174202,0.7636383771896362,0.01578883379697793
37,COMPLETED,1,0.23029448282826723,0.01742874115205616,33.0,0.7883550028264555,314.15,0.8478448275862069,0.5067691802978516,0.004607122668174202,0.7636383771896362,0.01578883379697793
38,INTERMEDIATE,1,0.23632122492295624,0.01611117460156409,33.0,0.7886941775014132,331.25,0.8478448275862069,0.5043677687644958,0.004410684002261189,0.7668226361274719,0.018164451420307093
38,COMPLETED,1,0.23632122492295624,0.01611117460156409,33.0,0.7886941775014132,331.25,0.8478448275862069,0.5043677687644958,0.004410684002261189,0.7668226361274719,0.018164451420307093
39,INTERMEDIATE,1,0.01,0.049999999999999996,32.0,0.7879310344827587,274.1,0.8563793103448278,0.4670458734035492,0.0039853024307519025,0.7784608602523804,0.018443664908409207
39,COMPLETED,1,0.01,0.049999999999999996,32.0,0.7879310344827587,274.1,0.8563793103448278,0.4670458734035492,0.0039853024307519025,0.7784608602523804,0.018443664908409207
40,INTERMEDIATE,1,0.31350336852839994,0.012574147758089496,33.0,0.7899095534200113,341.8,0.8475862068965517,0.5185140371322632,0.004041831543244778,0.7639426589012146,0.017171373963355996
40,COMPLETED,1,0.31350336852839994,0.012574147758089496,33.0,0.7899095534200113,341.8,0.8475862068965517,0.5185140371322632,0.004041831543244778,0.7639426589012146,0.017171373963355996
41,INTERMEDIATE,1,0.2813916034309676,0.013737158419151478,33.0,0.7883550028264555,328.95,0.8462931034482759,0.5161929726600647,0.00401427360090445,0.7618100643157959,0.01439521461725235
41,COMPLETED,1,0.2813916034309676,0.013737158419151478,33.0,0.7883550028264555,328.95,0.8462931034482759,0.5161929726600647,0.00401427360090445,0.7618100643157959,0.01439521461725235
42,INTERMEDIATE,1,0.32546542649449284,0.012090997453127307,33.0,0.7895703787450536,377.6,0.8487068965517242,0.5108190774917603,0.004325183719615655,0.7611101865768433,0.014987249672412828
42,COMPLETED,1,0.32546542649449284,0.012090997453127307,33.0,0.7895703787450536,377.6,0.8487068965517242,0.5108190774917603,0.004325183719615655,0.7611101865768433,0.014987249672412828
43,INTERMEDIATE,1,0.2680603198133284,0.014270409100513972,33.0,0.7889768230638778,312.3,0.8464655172413794,0.5144949555397034,0.004381712832108531,0.761506199836731,0.01747925430536268
