train_acc,val_acc,train_loss,val_loss,epochs
0.8724137931034482,0.7908422837761447,0.41070598,0.9989825,617
0.8086206896551724,0.7908422837761447,0.63738155,0.8576132,407
0.8293103448275863,0.78631995477671,0.46389377,1.0099506,505
0.8344827586206897,0.7755794234030525,0.52458125,1.0297447,456
0.7965517241379311,0.7767100056529113,0.61185277,0.9346978,328
0.7913793103448276,0.7665347654041832,0.68732923,0.9020626,234
0.8327586206896552,0.7535330695308083,0.50723356,1.0476916,370
0.8327586206896552,0.784624081401922,0.5731813,1.0102278,665
0.8844827586206897,0.791407574901074,0.36336705,0.9071726,565
0.8310344827586207,0.7778405879027699,0.5428774,0.9679965,434
