Trial-ID,Status,Iteration,dropout,lr,num_hidden_layers,num_hidden_units,Objective,epochs,split_details,train_acc,train_loss,val_acc,val_acc_uncertainty,val_loss,val_loss_uncertainty
1,INTERMEDIATE,1,0.451570783183247,0.0192020360040254,1,17,0.7843979649519502,443.1,"{'epoch_counts': [685, 334, 502, 363, 244, 293, 500, 439, 662, 409], 'val_losses': [0.73054504, 0.7626168, 0.79897636, 0.82485783, 0.7844749, 0.72921616, 0.8771762, 0.80319875, 0.7191057, 0.7998417], 'val_accs': [0.8038439796495195, 0.7891464104013567, 0.7817976257772753, 0.7704918032786885, 0.7925381571509327, 0.7801017524024872, 0.7631430186546071, 0.7874505370265686, 0.7981910684002261, 0.7772752967778406], 'train_losses': [0.46935478, 0.5868379, 0.51060146, 0.5573602, 0.6299904, 0.5943376, 0.4484976, 0.5989553, 0.42919153, 0.5519854], 'train_accs': [0.8517241379310345, 0.8241379310344827, 0.8379310344827586, 0.8258620689655173, 0.8189655172413793, 0.8224137931034483, 0.8603448275862069, 0.8224137931034483, 0.8775862068965518, 0.8327586206896552]}",0.8374137931034482,0.5377112030982971,0.7843979649519502,0.00757490107405312,0.7830009460449219,0.028147345781326272
1,COMPLETED,1,0.451570783183247,0.0192020360040254,1,17,0.7843979649519502,443.1,"{'epoch_counts': [685, 334, 502, 363, 244, 293, 500, 439, 662, 409], 'val_losses': [0.73054504, 0.7626168, 0.79897636, 0.82485783, 0.7844749, 0.72921616, 0.8771762, 0.80319875, 0.7191057, 0.7998417], 'val_accs': [0.8038439796495195, 0.7891464104013567, 0.7817976257772753, 0.7704918032786885, 0.7925381571509327, 0.7801017524024872, 0.7631430186546071, 0.7874505370265686, 0.7981910684002261, 0.7772752967778406], 'train_losses': [0.46935478, 0.5868379, 0.51060146, 0.5573602, 0.6299904, 0.5943376, 0.4484976, 0.5989553, 0.42919153, 0.5519854], 'train_accs': [0.8517241379310345, 0.8241379310344827, 0.8379310344827586, 0.8258620689655173, 0.8189655172413793, 0.8224137931034483, 0.8603448275862069, 0.8224137931034483, 0.8775862068965518, 0.8327586206896552]}",0.8374137931034482,0.5377112030982971,0.7843979649519502,0.00757490107405312,0.7830009460449219,0.028147345781326272
2,INTERMEDIATE,1,0.5176946635754021,0.012946443381343428,1,27,0.7864895421141889,387.6,"{'epoch_counts': [213, 408, 473, 299, 294, 292, 437, 434, 490, 536], 'val_losses': [0.7600275, 0.76685077, 0.77564347, 0.80117536, 0.7751614, 0.7220718, 0.84605974, 0.7869179, 0.71341616, 0.7894586], 'val_accs': [0.7953646127755795, 0.78631995477671, 0.7925381571509327, 0.7767100056529113, 0.7919728660260034, 0.7891464104013567, 0.7687959299039006, 0.7851893725268513, 0.8049745618993782, 0.7738835500282646], 'train_losses': [0.6070151, 0.55643225, 0.48369724, 0.55019355, 0.6064502, 0.5845387, 0.4596662, 0.62444216, 0.43339187, 0.49399403], 'train_accs': [0.8310344827586207, 0.8275862068965517, 0.8379310344827586, 0.8379310344827586, 0.8310344827586207, 0.8293103448275863, 0.8603448275862069, 0.8103448275862069, 0.8724137931034482, 0.85]}",0.838793103448276,0.5399821996688843,0.7864895421141889,0.00667184850197855,0.7736783027648926,0.022503353655338287
2,COMPLETED,1,0.5176946635754021,0.012946443381343428,1,27,0.7864895421141889,387.6,"{'epoch_counts': [213, 408, 473, 299, 294, 292, 437, 434, 490, 536], 'val_losses': [0.7600275, 0.76685077, 0.77564347, 0.80117536, 0.7751614, 0.7220718, 0.84605974, 0.7869179, 0.71341616, 0.7894586], 'val_accs': [0.7953646127755795, 0.78631995477671, 0.7925381571509327, 0.7767100056529113, 0.7919728660260034, 0.7891464104013567, 0.7687959299039006, 0.7851893725268513, 0.8049745618993782, 0.7738835500282646], 'train_losses': [0.6070151, 0.55643225, 0.48369724, 0.55019355, 0.6064502, 0.5845387, 0.4596662, 0.62444216, 0.43339187, 0.49399403], 'train_accs': [0.8310344827586207, 0.8275862068965517, 0.8379310344827586, 0.8379310344827586, 0.8310344827586207, 0.8293103448275863, 0.8603448275862069, 0.8103448275862069, 0.8724137931034482, 0.85]}",0.838793103448276,0.5399821996688843,0.7864895421141889,0.00667184850197855,0.7736783027648926,0.022503353655338287
3,INTERMEDIATE,1,0.055065137159995614,0.0005688111402634139,5,25,0.7766534765404184,762.3,"{'epoch_counts': [910, 1048, 896, 619, 715, 611, 376, 1193, 782, 473], 'val_losses': [0.91126406, 0.87135917, 0.98498225, 0.94080067, 0.9356617, 0.88839036, 1.0072086, 0.99834216, 0.8829032, 0.87841463], 'val_accs': [0.7880158281514981, 0.7874505370265686, 0.7874505370265686, 0.7727529677784059, 0.776144714527982, 0.7637083097795364, 0.7439231204070096, 0.7817976257772753, 0.7936687394007914, 0.7716223855285472], 'train_losses': [0.5438329, 0.5677771, 0.50247943, 0.6630148, 0.62851536, 0.66959953, 0.64824224, 0.5930997, 0.47080216, 0.70760006], 'train_accs': [0.8413793103448276, 0.8224137931034483, 0.8310344827586207, 0.8206896551724138, 0.7982758620689655, 0.8068965517241379, 0.8137931034482758, 0.8120689655172414, 0.8517241379310345, 0.7913793103448276]}",0.8189655172413793,0.5994963049888611,0.7766534765404184,0.009328716789146596,0.9299327731132507,0.030670125782489732
3,COMPLETED,1,0.055065137159995614,0.0005688111402634139,5,25,0.7766534765404184,762.3,"{'epoch_counts': [910, 1048, 896, 619, 715, 611, 376, 1193, 782, 473], 'val_losses': [0.91126406, 0.87135917, 0.98498225, 0.94080067, 0.9356617, 0.88839036, 1.0072086, 0.99834216, 0.8829032, 0.87841463], 'val_accs': [0.7880158281514981, 0.7874505370265686, 0.7874505370265686, 0.7727529677784059, 0.776144714527982, 0.7637083097795364, 0.7439231204070096, 0.7817976257772753, 0.7936687394007914, 0.7716223855285472], 'train_losses': [0.5438329, 0.5677771, 0.50247943, 0.6630148, 0.62851536, 0.66959953, 0.64824224, 0.5930997, 0.47080216, 0.70760006], 'train_accs': [0.8413793103448276, 0.8224137931034483, 0.8310344827586207, 0.8206896551724138, 0.7982758620689655, 0.8068965517241379, 0.8137931034482758, 0.8120689655172414, 0.8517241379310345, 0.7913793103448276]}",0.8189655172413793,0.5994963049888611,0.7766534765404184,0.009328716789146596,0.9299327731132507,0.030670125782489732
4,INTERMEDIATE,1,0.2210056035877711,0.0352834572836928,5,21,0.7522894290559639,397.9,"{'epoch_counts': [331, 323, 336, 523, 519, 362, 590, 240, 427, 328], 'val_losses': [0.96182054, 0.984286, 1.1455663, 1.1673621, 1.0368134, 0.9700451, 1.2052535, 1.0125281, 0.90518767, 1.1545755], 'val_accs': [0.776144714527982, 0.7778405879027699, 0.7744488411531939, 0.7066139061616733, 0.7083097795364612, 0.7637083097795364, 0.751271905031091, 0.7654041831543245, 0.7868852459016393, 0.7122668174109666], 'train_losses': [0.53964424, 0.5564348, 0.46707875, 0.6777536, 0.7146169, 0.5801787, 0.44584635, 0.6985862, 0.41288581, 0.7035456], 'train_accs': [0.8275862068965517, 0.8206896551724138, 0.8362068965517241, 0.7862068965517242, 0.753448275862069, 0.8017241379310345, 0.8413793103448276, 0.7879310344827586, 0.8655172413793103, 0.7603448275862069]}",0.8081034482758621,0.5796570777893066,0.7522894290559639,0.021318541548897674,1.054343819618225,0.0631893962621689
4,COMPLETED,1,0.2210056035877711,0.0352834572836928,5,21,0.7522894290559639,397.9,"{'epoch_counts': [331, 323, 336, 523, 519, 362, 590, 240, 427, 328], 'val_losses': [0.96182054, 0.984286, 1.1455663, 1.1673621, 1.0368134, 0.9700451, 1.2052535, 1.0125281, 0.90518767, 1.1545755], 'val_accs': [0.776144714527982, 0.7778405879027699, 0.7744488411531939, 0.7066139061616733, 0.7083097795364612, 0.7637083097795364, 0.751271905031091, 0.7654041831543245, 0.7868852459016393, 0.7122668174109666], 'train_losses': [0.53964424, 0.5564348, 0.46707875, 0.6777536, 0.7146169, 0.5801787, 0.44584635, 0.6985862, 0.41288581, 0.7035456], 'train_accs': [0.8275862068965517, 0.8206896551724138, 0.8362068965517241, 0.7862068965517242, 0.753448275862069, 0.8017241379310345, 0.8413793103448276, 0.7879310344827586, 0.8655172413793103, 0.7603448275862069]}",0.8081034482758621,0.5796570777893066,0.7522894290559639,0.021318541548897674,1.054343819618225,0.0631893962621689
5,INTERMEDIATE,1,0.22516385009804918,0.004591857691468314,1,24,0.7845675522894291,501.5,"{'epoch_counts': [366, 374, 598, 673, 363, 416, 565, 732, 622, 306], 'val_losses': [0.74370867, 0.77324444, 0.7796118, 0.81719345, 0.77995133, 0.7240365, 0.8510127, 0.78792185, 0.72079414, 0.79515547], 'val_accs': [0.79479932165065, 0.7857546636517807, 0.7891464104013567, 0.7704918032786885, 0.7919728660260034, 0.78631995477671, 0.7676653476540418, 0.7885811192764274, 0.7953646127755795, 0.7755794234030525], 'train_losses': [0.5758203, 0.61817837, 0.49315932, 0.5057469, 0.62801504, 0.5878894, 0.46304673, 0.5717322, 0.42095438, 0.63724613], 'train_accs': [0.8275862068965517, 0.8103448275862069, 0.8379310344827586, 0.846551724137931, 0.8189655172413793, 0.8275862068965517, 0.843103448275862, 0.8241379310344827, 0.8741379310344828, 0.8189655172413793]}",0.8329310344827585,0.5501788854598999,0.7845675522894291,0.006502261164499812,0.7772630453109741,0.02410106360912323
5,COMPLETED,1,0.22516385009804918,0.004591857691468314,1,24,0.7845675522894291,501.5,"{'epoch_counts': [366, 374, 598, 673, 363, 416, 565, 732, 622, 306], 'val_losses': [0.74370867, 0.77324444, 0.7796118, 0.81719345, 0.77995133, 0.7240365, 0.8510127, 0.78792185, 0.72079414, 0.79515547], 'val_accs': [0.79479932165065, 0.7857546636517807, 0.7891464104013567, 0.7704918032786885, 0.7919728660260034, 0.78631995477671, 0.7676653476540418, 0.7885811192764274, 0.7953646127755795, 0.7755794234030525], 'train_losses': [0.5758203, 0.61817837, 0.49315932, 0.5057469, 0.62801504, 0.5878894, 0.46304673, 0.5717322, 0.42095438, 0.63724613], 'train_accs': [0.8275862068965517, 0.8103448275862069, 0.8379310344827586, 0.846551724137931, 0.8189655172413793, 0.8275862068965517, 0.843103448275862, 0.8241379310344827, 0.8741379310344828, 0.8189655172413793]}",0.8329310344827585,0.5501788854598999,0.7845675522894291,0.006502261164499812,0.7772630453109741,0.02410106360912323
