Trial-ID,Status,Iteration,dropout,lr,num_heads,num_hidden_units,num_layers,residual,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
1,INTERMEDIATE,1,0.28962844734004595,0.0016896604391153363,7,19,1,True,0.7958168456755228,316.6,0.8572413793103448,0.4325745701789856,0.004861503674392309,0.6980489492416382,0.022363901138305664
1,COMPLETED,1,0.28962844734004595,0.0016896604391153363,7,19,1,True,0.7958168456755228,316.6,0.8572413793103448,0.4325745701789856,0.004861503674392309,0.6980489492416382,0.022363901138305664
2,INTERMEDIATE,1,0.48279696246239706,0.09132188547714047,4,17,1,True,0.7882419446014698,227.2,0.8472413793103449,0.4557308256626129,0.006331260599208521,0.7138115167617798,0.011886537075042725
2,COMPLETED,1,0.48279696246239706,0.09132188547714047,4,17,1,True,0.7882419446014698,227.2,0.8472413793103449,0.4557308256626129,0.006331260599208521,0.7138115167617798,0.011886537075042725
3,INTERMEDIATE,1,0.6700741038110625,0.05247704047101935,7,16,1,False,0.7875635952515545,308.8,0.8117241379310345,0.5965394973754883,0.004070096099491272,0.7212072610855103,0.01811814308166504
3,COMPLETED,1,0.6700741038110625,0.05247704047101935,7,16,1,False,0.7875635952515545,308.8,0.8117241379310345,0.5965394973754883,0.004070096099491272,0.7212072610855103,0.01811814308166504
4,INTERMEDIATE,1,0.7524607860327466,0.004197863101019975,4,13,1,True,0.7923120407009611,514.2,0.8217241379310345,0.5646148920059204,0.00802713397399657,0.6998549699783325,0.020682096481323242
4,COMPLETED,1,0.7524607860327466,0.004197863101019975,4,13,1,True,0.7923120407009611,514.2,0.8217241379310345,0.5646148920059204,0.00802713397399657,0.6998549699783325,0.020682096481323242
5,INTERMEDIATE,1,0.4819842803922648,0.01622621780841697,4,15,1,False,0.7945732052006783,238.8,0.8382758620689655,0.48999133706092834,0.004635387224420695,0.6873406171798706,0.016294121742248535
5,COMPLETED,1,0.4819842803922648,0.01622621780841697,4,15,1,False,0.7945732052006783,238.8,0.8382758620689655,0.48999133706092834,0.004635387224420695,0.6873406171798706,0.016294121742248535
6,INTERMEDIATE,1,0.3748831792632971,0.012825099378986167,5,14,1,False,0.7929903900508762,216.6,0.8472413793103447,0.46945151686668396,0.0038439796495195466,0.6919612884521484,0.01613551378250122
6,COMPLETED,1,0.3748831792632971,0.012825099378986167,5,14,1,False,0.7929903900508762,216.6,0.8472413793103447,0.46945151686668396,0.0038439796495195466,0.6919612884521484,0.01613551378250122
