train_acc,val_acc,train_loss,val_loss,epochs
0.8586206896551725,0.8055398530243075,0.45008597,0.7309099,339
0.8172413793103448,0.7874505370265686,0.6294055,0.77411103,167
0.8637931034482759,0.7959299039005088,0.42767683,0.78935874,454
0.8327586206896552,0.7744488411531939,0.5410162,0.819571,206
0.8362068965517241,0.7885811192764274,0.52165806,0.7564683,249
0.8206896551724138,0.7823629169022046,0.64252734,0.74487126,153
0.8706896551724138,0.7710570944036179,0.4133207,0.8583751,391
0.8344827586206897,0.789711701526286,0.5358991,0.7970304,404
0.8862068965517241,0.7993216506500848,0.36609924,0.73514557,407
0.846551724137931,0.7891464104013567,0.51324356,0.780294,286
